COD_SISTEMA;COD_MODULO;COD_ROTINA;NOM_FUNCIONALIDADE;COD_FUNCIONALIDADE
SCD_WEB_API;CAC;USU;Listar associações usuário-perfil;LISASSUSUPER
SCD_WEB_API;CAC;USU;Associar perfil ao usuário;ASSPERAOUSU
SCD_WEB_API;CAC;USE;Listar usuários;LISUSU
SCD_WEB_API;CAC;PER;Listar associações perfil-funcionalidade;LISASSPERFUN
SCD_WEB_API;CAC;PER;Associar funcionalidade ao perfil;ASSFUNAOPER
SCD_WEB_API;CAC;PER;Criar perfil;CRIPER
SCD_WEB_API;CAD;TYP;Cadastrar tipo de atividade;CADTIPDEATI
SCD_WEB_API;CAD;SAL;Cadastrar canal de venda;CADCANDEVEN
SCD_WEB_API;CAD;REC;Cadastrar limite de recarga;CADLIMDEREC
SCD_WEB_API;PEDCR;PED;Buscar pedidos;BUSPED
SCD_WEB_API;CARTAO;INI;Gestão de cartões inicializados;GESDECARINI
SCD_WEB_API;CAD;PRO;Cadastrar produto;CADPRO
SCD_WEB_API;CAD;TEC;Cadastrar tecnologia;CADTEC
SCD_WEB_API;CAD;TEC;Atualizar tecnologia;ATUTEC
SCD_WEB_API;CAD;TEC;Buscar tecnologia por código;BUSTECPORCOD
SCD_WEB_API;CAD;TEC;Listar tecnologias;LISTEC
SCD_WEB_API;CAD;TEC;Ativar tecnologia;ATITEC
SCD_WEB_API;CAD;TEC;Inativar tecnologia;INATEC
SCD_WEB_API;CAD;TEC;Remover tecnologia;REMTEC
SCD_WEB_API;CAD;SPE;Cadastrar especie;CADESP
SCD_WEB_API;CAD;SPE;Atualizar especie;ATUESP
SCD_WEB_API;CAD;SPE;Buscar especie por código;BUSESPPORCÃ“D
SCD_WEB_API;CAD;SPE;Listar especies;LISESP
SCD_WEB_API;CAD;SPE;Ativar especie;ATIESP
SCD_WEB_API;CAD;SPE;Inativar especie;INAESP
SCD_WEB_API;CAD;SPE;Remover especie;REMESP
SCD_WEB_API;CAD;PRO;Cadastrar tipo de produto;CADTIPDEPRO
SCD_WEB_API;CAD;PRO;Atualizar tipo de produto;ATUTIPDEPRO
SCD_WEB_API;CAD;PRO;Buscar tipo de produto por código;BUSTIPDEPROPORCOD
SCD_WEB_API;CAD;PRO;Listar tipos de produto;LISTIPDEPRO
SCD_WEB_API;CAD;PRO;Ativar tipo de produto;ATITIPDEPRO
SCD_WEB_API;CAD;PRO;Inativar tipo de produto;INATIPDEPRO
SCD_WEB_API;CAD;PRO;Remover tipo de produto;REMTIPDEPRO
SCD_WEB_API;CAD;MOD;Cadastrar modalidade;CADMOD
SCD_WEB_API;CAD;MOD;Atualizar modalidade;ATUMOD
SCD_WEB_API;CAD;MOD;Buscar modalidade por código;BUSMODPORCOD
SCD_WEB_API;CAD;MOD;Listar modalidades;LISMOD
SCD_WEB_API;CAD;MOD;Ativar modalidade;ATIMOD
SCD_WEB_API;CAD;MOD;Inativar modalidade;INAMOD
SCD_WEB_API;CAD;MOD;Remover modalidade;REMMOD
SCD_WEB_API;CAD;FAM;Cadastrar familia;CADFAM
SCD_WEB_API;CAD;FAM;Atualizar familia;ATUFAM
SCD_WEB_API;CAD;FAM;Buscar familia por código;BUSFAMPORCOD
SCD_WEB_API;CAD;FAM;Listar familias;LISFAM
SCD_WEB_API;CAD;FAM;Ativar familia;ATIFAM
SCD_WEB_API;CAD;FAM;Inativar familia;INAFAM
SCD_WEB_API;CAD;FAM;Remover familia;REMFAM
SCD_WEB_API;CAD;FEE;Cadastrar tarifa;CADTAR
SCD_WEB_API;CAD;FEE;Atualizar tarifa;ATUTAR
SCD_WEB_API;CAD;FEE;Buscar tarifas;BUSTAR
SCD_WEB_API;CAD;FEE;Remover tarifa;REMTAR
SCD_WEB_API;CAD;FEE;Cadastrar taxa;CADTAX
SCD_WEB_API;CAD;FEE;Atualizar taxa;ATUTAX
SCD_WEB_API;CAD;FEE;Buscar taxas;BUSTAX
SCD_WEB_API;CAD;FEE;Remover taxa;REMTAX
SCD_WEB_API;CAD;TYP;Cadastrar tipo de atividade;CADTIPDEATI
SCD_WEB_API;CAD;TYP;Atualizar tipo de atividade;ATUTIPDEATI
SCD_WEB_API;CAD;TYP;Buscar tipo de atividade por código;BUSTIPDEATIPORCOD
SCD_WEB_API;CAD;TYP;Listar tipos de atividade;LISTIPDEATI
SCD_WEB_API;CAD;TYP;Ativar tipo de atividade;ATITIPDEATI
SCD_WEB_API;CAD;TYP;Inativar tipo de atividade;INATIPDEATI
SCD_WEB_API;CAD;SAL;Atualizar canal de venda;ATUCANDEVEN
SCD_WEB_API;CAD;SAL;Buscar canal de venda por código;BUSCANDEVENPORCOD
SCD_WEB_API;CAD;SAL;Listar canais de venda;LISCANDEVEN
SCD_WEB_API;CAD;SAL;Ativar canal de venda;ATICANDEVEN
SCD_WEB_API;CAD;SAL;Inativar canal de venda;INACANDEVEN
SCD_WEB_API;CAD;SAL;Remover canal de venda;REMCANDEVEN
SCD_WEB_API;CAD;PRO;Atualizar produto;ATUPRO
SCD_WEB_API;CAD;PRO;Buscar produto por código;BUSPROPORCOD
SCD_WEB_API;CAD;PRO;Listar produtos;LISPRO
SCD_WEB_API;CAD;PRO;Ativar produto;ATIPRO
SCD_WEB_API;CAD;PRO;Inativar produto;INAPRO
